Model,Launch,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,TDP (Watts)
GeForce GTX 1060,3/8/18,72.2,120.4,3855.3,120
GeForce GTX 1060,3/8/18,82,136.7,4375,120
GeForce GTX 1060,10/18/18,72.2,120.4,3855.3,120
GeForce GTX 1060,10/18/18,82,136.7,4375,120
GeForce GTX 1060,7/19/16,72.2,120.4,3855.3,120
GeForce GTX 1060,7/19/16,82,136.7,4375,120
GeForce GTX 1060,4/20/17,72.2,120.4,3855.3,120
GeForce GTX 1060,4/20/17,82,136.7,4375,120
GeForce GTX 1070,6/10/16,96.3,180.7,5783,150
GeForce GTX 1070,6/10/16,107.7,201.9,6462.7,150
GeForce GTX 1070 Ti,11/2/17,102.8,244,7816.4,180
GeForce GTX 1070 Ti,11/2/17,107.7,256,8186.1,180
GeForce GTX 1080,5/27/16,102.8,257.1,8227.8,180
GeForce GTX 1080,5/27/16,110.9,277.2,8872.9,180
GeForce GTX 1080,4/20/17,102.8,257.1,8227.8,180
GeForce GTX 1080,4/20/17,110.9,277.2,8872.9,180
GeForce GTX 1080 Ti,3/5/17,130.2,331.5,10608.6,250
GeForce GTX 1080 Ti,3/5/17,139.2,354.3,11339.7,250
TITAN X Pascal,8/2/16,136,317.4,10157,250
TITAN X Pascal,8/2/16,146.9,342.9,10974.2,250
TITAN Xp,4/6/17,134.8,337.2,10790.4,250
TITAN Xp,4/6/17,142,355.2,11366.4,250
Nvidia TITAN V,12/7/17,153.6,384,12288,250
Nvidia TITAN V,12/7/17,186.2,465.6,14899.2,250
Nvidia TITAN VCEO Edition,6/21/18,153.6,384,12288,250
Nvidia TITAN VCEO Edition,6/21/18,186.2,465.6,14899.2,250
GeForce GTX 1630,6/28/22,28.56,57.12,1781.76,75
GeForce GTX 1630,6/28/22,28.56,57.12,1827.84,75
GeForce GTX 1650,4/23/19,47.52,83.16,2661,75
GeForce GTX 1650,4/23/19,47.52,83.16,2984,75
GeForce GTX 1650,4/3/20,45.12,78.96,2526.72,75
